#Position (bp)	mapping quality
4086.0	36.99821212853346
12257.0	36.99824824429891
20428.0	36.99692554841569
28599.0	36.996986479882715
36770.0	36.99804040992506
44941.0	37.0
53112.0	36.995866729969
61283.0	36.997798208813116
69454.0	37.0
77625.0	36.99808869488855
85796.0	36.99808617389955
93967.0	36.997814982136
102138.0	36.995998918626654
110309.0	36.99663812098221
118480.0	37.0
126651.0	36.99700295654287
134822.0	36.995334321112196
142993.0	37.0
151164.0	36.998709407373816
159335.0	36.99707220573689
167506.0	36.99843690591864
175677.0	37.0
183848.0	36.998066370525216
192019.0	36.9987925464217
200190.0	36.996386248209404
208361.0	37.0
216532.0	36.99401939655172
224703.0	36.996611928453696
232874.0	36.999159511153515
241045.0	36.998776576397844
249216.0	37.0
257387.0	36.998761962122735
265558.0	36.99664206195547
273729.0	36.99595893403233
281900.0	36.997347860368436
290071.0	36.99842937493367
298242.0	36.99531170805879
306413.0	36.99688079581858
314584.0	37.0
322755.0	36.99555635621209
330926.0	36.99545803283719
339097.0	36.999211776485375
347268.0	36.990426288893204
355439.0	36.99589512222181
363610.0	36.99541417062591
371781.0	36.999062602923665
379952.0	36.995785516986075
388123.0	36.995751521414626
396294.0	36.99884562585798
404465.0	36.9960966346661
412636.0	36.99658587598425
420807.0	36.99807712296019
428978.0	36.99591250552364
437149.0	36.99694757249515
445320.0	36.992732629511416
453491.0	36.998061152304345
461662.0	37.0
469833.0	36.998601292859036
478004.0	36.997643237045764
486175.0	36.99854656872373
494346.0	36.99607676810518
502517.0	36.99840983324738
510688.0	36.998506559031284
518859.0	36.99773520230153
527030.0	36.994665820886915
535201.0	36.996718403547675
543372.0	36.99697052401747
551543.0	36.99850208493583
559714.0	36.996528863593724
567885.0	36.99774440673833
576056.0	36.994070829549706
584227.0	36.99861914536294
592398.0	36.994157817866025
600569.0	36.997065510495425
608740.0	36.99736435949187
616911.0	36.99798973133031
625082.0	36.99361143725395
633253.0	36.99873582069154
641424.0	36.99822316133215
649595.0	36.998712282045034
657766.0	36.997777644302964
665937.0	36.99867159731447
674108.0	36.998679231812666
682279.0	36.9941805599245
690450.0	36.99897778760084
698621.0	36.993923069342706
706792.0	36.9956855085561
714963.0	36.994211514392994
723134.0	36.99562740788012
731305.0	36.996549365829395
739476.0	36.99878321494344
747647.0	36.99458430913349
755818.0	36.996823398105484
763989.0	36.99893377903291
772160.0	36.996502394756746
780331.0	36.99846841625963
788502.0	36.99789999432431
796673.0	36.99896777793277
804844.0	36.998828928627944
813015.0	36.99283183881324
821186.0	36.997083322384846
829357.0	36.99824889372678
837528.0	37.0
845699.0	36.998675164709255
853870.0	36.99633808392716
862041.0	37.0
870212.0	36.994906913520765
878383.0	36.99899891774892
886554.0	36.99803411083364
894725.0	36.99596260866402
902896.0	36.995437356132854
911067.0	36.993358804071896
919238.0	37.0
927409.0	37.0
935580.0	36.99728087795796
943751.0	36.99810988225077
951922.0	36.999027723032455
960093.0	36.99246410265114
968264.0	36.994700051567065
976435.0	36.998751813244276
984606.0	36.99590606068988
992777.0	36.996481440390525
1000948.0	36.999001780607564
1009119.0	36.99864780908526
1017290.0	36.997090623157064
1025461.0	37.0
1033632.0	36.99734586277393
1041803.0	36.99670290500802
1049974.0	37.0
1058145.0	36.99744201320474
1066316.0	36.99484733488842
1074487.0	37.0
1082658.0	36.99843067396191
1090829.0	36.99736720389939
1099000.0	36.99793549827028
1107171.0	36.998237129856825
1115342.0	36.99698408493469
1123513.0	36.99789083653983
1131684.0	36.99814930598975
1139855.0	36.997813820201486
1148026.0	36.997863309560245
1156197.0	36.99797415681121
1164368.0	36.998058252427185
1172539.0	36.99663391557496
1180710.0	36.99785170992278
1188881.0	36.995391705069125
1197052.0	36.99890884425964
1205223.0	36.99775533108866
1213394.0	37.0
1221565.0	36.996765451525484
1229736.0	36.99600733786554
1237907.0	36.99901264876981
1246078.0	36.99630234185016
1254249.0	37.0
1262420.0	36.993439716312054
1270591.0	36.997805847120915
1278762.0	36.99468810566363
1286933.0	36.999012174284495
1295104.0	36.99393019726859
1303275.0	36.996758934828314
1311446.0	36.99607110242742
1319617.0	36.99867021276596
1327788.0	36.99362442706
1335959.0	36.997545686710225
1344130.0	36.98949907762168
1352301.0	36.99779163806738
1360472.0	36.99620162201006
1368643.0	37.0
1376814.0	36.99646186947167
1384985.0	36.99903547874143
1393156.0	37.0
1401327.0	37.0
1409498.0	36.998914701396224
1417669.0	36.99002127595817
1425840.0	36.997630635245905
1434011.0	36.99819736425422
1442182.0	36.998380673114795
1450353.0	36.99348430951291
1458524.0	36.99426200907223
1466695.0	36.99418985055877
1474866.0	36.99401111450821
1483037.0	36.997623558881145
1491208.0	36.99777797795994
1499379.0	36.98871109905756
1507550.0	37.0
1515721.0	36.998932918036566
1523892.0	36.99895035460993
1532063.0	36.99689049499958
1540234.0	36.99889756271974
1548405.0	36.99891176470588
1556576.0	36.99269316218218
1564747.0	36.99747181414418
1572918.0	36.99777724378229
1581089.0	36.996611204396274
1589260.0	37.0
1597431.0	36.99507421953005
1605602.0	36.99915194022324
1613773.0	36.99529752675326
1621944.0	36.99423361645757
1630115.0	36.99567820119726
1638286.0	36.99908234126984
1646457.0	36.99895674730728
1654628.0	37.0
1662799.0	37.0
1670970.0	36.9985701588283
1679141.0	37.0
1687312.0	36.998863671263166
1695483.0	36.99894270610087
1703654.0	37.0
1711825.0	36.99899390907113
1719996.0	36.997991640883676
1728167.0	36.998563608835745
1736338.0	36.99618064516129
1744509.0	36.99340510480536
1752680.0	36.999055761133086
1760851.0	36.99876567921004
1769022.0	37.0
1777193.0	36.99905648348846
1785364.0	36.996714177878424
1793535.0	37.0
1801706.0	36.998450196866884
1809877.0	37.0
1818048.0	37.0
1826219.0	36.99506057470881
1834390.0	36.99345113425175
1842561.0	36.99858810959322
1850732.0	36.99768431593441
1858903.0	37.0
